date,latitude,longitude
20200709,0,133
20201121,-1,133
20201217,47,155
20200813,14,-45
20200719,-22,170
20200914,-22,170
20210116,-15,168
20201219,-22,170
20200920,-22,170
20201024,51,179
20200730,-60,-27
20200831,44,151
20201101,-22,170
20200208,16,-93
20210129,-23,171
20200204,19,121
20201119,-17,-175
20200206,-30,-178
20201203,-22,171
20201010,-39,-16
20201205,-39,-16
20200720,0,132
20201029,-39,-16
20200917,-39,-15
20200512,0,133
20200507,-22,171
20200419,54,160
20200129,-23,171
20200216,23,-111
20210131,-39,-16
20210121,-23,171
20200113,8,127
20210104,-39,-16
20210112,35,142
20200823,0,121
20201006,36,70
20200116,-11,115
20200528,-5,130
20210130,-20,66
20200317,16,96
20200306,-23,171
20200707,-23,171
20200930,-54,-133
20210226,-6,149
20200727,0,133
20201124,47,156
20210217,-1,127
20200709,-22,171
20200408,-7,129
20200905,53,-35
20200625,15,-92
20200701,-30,-178
20200130,-55,-129
20210226,-5,69
20200515,-36,-71
20200813,-15,168
20200728,-6,155
20210226,21,121
20200803,-1,133
20200824,-19,-68
20200512,-20,-179
20200119,-8,125
20200215,-28,-177
20200223,5,126
20200320,59,-153
20200405,-7,130
20200712,-30,-178
20200727,43,81
20200830,38,72
20200722,58,121
20210215,52,-171
20201004,0,98
20200830,-23,-114
20200920,-18,-179
20200612,0,100
20200319,-18,-179
20200428,-11,118
20201217,56,164
20201222,-45,36
20200725,-18,176
20210112,-17,-172
20210127,2,129
20200906,0,98
20200510,-3,137
20200414,13,-90
20201119,-9,124
20201119,0,98
20200713,14,93
20201108,-8,-71
20201125,11,125
20200527,-9,124
20201217,-15,-174
20210101,-19,-69
20200718,-23,-70
20201024,-1,133
20200411,12,95
20200907,18,-102
20210122,-61,154
20200905,37,141
20210216,38,142
20200716,5,128
20200524,-35,-111
20210205,-14,-77
20200614,27,66
20201027,-5,103
20200708,-24,-180
20200522,-4,35
20200315,-19,169
20200720,-6,130
20200922,-57,-26
20200828,-27,-176
20210119,-27,-176
20200328,24,-109
20201223,-7,123
20200620,-57,-143
20200218,-28,-71
20201017,-28,-13
20200101,-21,-178
20200913,-30,-112
20200523,-6,148
20200226,-25,-177
20201017,-3,-79
20201110,-7,-81
20200729,21,146
20200915,-7,-81
20200302,1,123
20200818,-16,178
20200324,-20,-69
20200807,4,126
20200212,-6,152
20200530,7,-73
20210226,-21,-177
20200902,2,-84
20200605,4,127
20201121,4,127
20200710,4,127
20200608,4,127
20200119,4,127
20200914,4,127
20200907,4,127
20200704,4,127
20210219,4,126
20200128,4,127
20210219,3,126
20200521,0,124
20200419,4,127
20210208,4,127
20200609,4,127
20200811,4,127
20200130,4,127
20200311,4,126
20201227,4,127
20200216,4,127
20210213,-6,152
20210104,4,127
20200418,4,127
20200110,4,127
20201111,4,126
20201001,4,127
20210119,4,127
20201231,4,127
20201003,4,127
20200430,4,126
20200304,4,127
20210206,4,127
20200620,4,126
20200613,4,127
20200803,4,127
20201127,4,127
20200503,4,127
20201222,4,127
20210111,4,127
20200622,4,127
20201004,-8,121
20200122,4,127
20200710,4,127
20201214,4,127
20200526,4,127
20200425,4,127
20200726,46,151
20201103,4,126
20201002,12,144
20201029,4,127
20200505,4,127
20200105,4,127
20210219,4,127
20200902,4,127
20200307,-55,-129
20200716,-31,-178
20200303,4,126
20200920,-31,-178
20200706,4,127
20200703,4,127
20201228,4,127
20201222,4,127
20201215,4,127
20200203,4,127
20210223,4,127
20200128,-9,-74
20200313,4,127
20200218,47,85
20200318,-22,170
20201019,-5,152
20200501,19,-69
20200116,4,127
20200921,-16,167
20200806,-36,-97
20200601,-6,-81
20200209,4,127
20200917,0,132
20200722,40,142
20200203,4,127
20200406,-21,174
20200325,-9,158
20210117,-7,155
20200809,-7,155
20200408,-4,35
20200321,-29,-70
20200414,-4,150
20210103,37,21
20200804,-31,-179
20200118,39,29
20201210,18,145
20200416,-8,128
20210204,-19,169
20201027,2,128
20200404,4,127
20210110,31,84
20210222,-53,21
20200703,-53,21
20201020,-62,155
20200628,4,127
20200821,-27,-176
20200813,-53,21
20200115,-7,121
20200916,-14,66
20200120,41,79
20201212,-18,-179
20200502,34,74
20201105,29,131
20200410,0,133
20200104,-3,-78
20201030,-26,-176
20200712,55,-35
20200822,55,-35
20200723,42,144
20200618,4,127
20200113,49,158
20210212,4,127
20200506,24,127
20200312,-1,133
20201229,-42,-88
20200911,4,127
20201003,59,-154
20200517,-1,133
20200118,0,99
20200609,28,55
20200609,-27,-176
20200624,-2,121
20210206,1,97
20200503,8,-104
20200820,14,146
20200328,0,-18
20210109,-13,167
20210225,-27,75
20200717,-23,171
20200719,9,126
20210105,-42,89
20201215,-23,171
20200602,19,121
20200913,-7,128
20200609,4,127
20201013,-12,166
20200820,-27,-176
20200612,-6,131
20201114,2,97
20201208,-45,-81
20200102,43,142
20200225,-61,-25
20200508,4,127
20210119,4,126
20200412,4,127
20200217,-17,177
20200720,-27,-176
20201025,-35,-179
20210301,-7,128
20200928,-22,-177
20200401,31,68
20200717,-5,153
20201129,-1,120
20210105,32,105
20210209,38,72
20200119,-56,-27
20200316,-4,151
20200420,-4,151
20200925,13,144
20200809,-13,168
20200829,-29,-14
20201017,3,95
20200902,18,-69
20200129,16,146
20201114,-8,-14
20201212,80,-2
20200504,-13,168
20200826,16,96
20200312,80,-1
20201207,-31,-13
20210219,-18,-179
20201002,-15,-173
20200608,-11,162
20210115,80,-2
20200205,-15,-173
20200120,-15,-173
20200922,-15,-173
20200820,-8,124
20200507,42,144
20201004,-9,125
20200409,14,-91
20200911,-17,67
20200220,-22,-175
20201025,-3,150
20200121,14,-91
20201006,-5,145
20200427,4,127
20201220,-25,-176
20210204,-2,139
20200918,16,-94
20200528,12,-88
20200426,-2,139
20200220,9,-83
20210202,-12,166
20200331,-32,-69
20200713,-23,-175
20201121,11,92
20210102,16,-47
20201008,8,-83
20201214,9,-83
