month,latitude,longitude,depth,mag,id,place
1,-60,0,15,6.3,iscgem877909,Bouvet Island region
1,40,90,15,5.7,iscgem877920,"northern Xinjiang, China"
1,10,40,15,6.1,iscgemsup877930,Djibouti
1,50,30,40,5.4,iscgemsup877933,Romania
1,10,100,15,5.6,iscgem877954,"Nicobar Islands, India region"
1,10,100,55,5.5,iscgem877960,"Nicobar Islands, India region"
1,-60,-30,35,6.2,iscgem877956,South Sandwich Islands region
1,-60,-30,15,5.9,iscgem877965,South Sandwich Islands region
1,-60,-30,35,6,iscgem877967,South Sandwich Islands region
1,20,100,15,5.6,iscgem877983,near the south coast of Myanmar
1,20,120,10,5.8,iscgem877990,Taiwan region
1,-60,-30,35,6,iscgem877991,South Sandwich Islands region
1,-20,-80,65,7.1,iscgem878016,near the coast of southern Peru
1,-20,-80,45,5.9,iscgemsup878032,near the coast of central Peru
1,50,160,53,5.5,iscgem878042,"near the east coast of the Kamchatka Peninsula, Russia"
1,-20,-180,25,6,iscgem878057,Fiji region
1,0,130,25,6.3,iscgem878081,"Seram, Indonesia"
1,0,130,35,6.2,iscgem878085,Banda Sea
1,0,130,25,6.2,iscgem878083,Banda Sea
1,-20,-180,25,6.3,iscgem878090,Fiji region
1,-20,-180,25,6.1,iscgem878104,Fiji region
1,40,40,25,5.3,iscgemsup878113,eastern Turkey
1,30,140,20,6.3,iscgem878153,"Shikoku, Japan"
2,40,20,35,5.5,iscgem878165,"Crete, Greece"
2,40,140,25,6.1,iscgem878191,"off the east coast of Honshu, Japan"
2,-10,150,50,6.6,iscgem878186,"New Ireland region, Papua New Guinea"
2,-60,-70,15,6.4,iscgem878224,Drake Passage
2,0,130,35,6.5,iscgem878240,"Seram, Indonesia"
2,-20,-170,15,5.9,iscgem878247,Samoa Islands region
2,20,-50,15,5.7,iscgem878298,northern Mid-Atlantic Ridge
2,-30,-110,15,6,iscgem878305,Easter Island region
2,50,160,35,5.8,iscgem878322,"off the east coast of the Kamchatka Peninsula, Russia"
2,-40,170,50,5.6,iscgem878342,South Island of New Zealand
2,-10,150,25,5.7,iscgem878370,"Bougainville region, Papua New Guinea"
2,40,20,25,5.6,iscgem878365,Greece
2,-10,160,50,6.2,iscgem878380,Solomon Islands
2,50,-180,35,6,iscgem878397,"Andreanof Islands, Aleutian Islands, Alaska"
2,50,-180,47,5.8,iscgem878399,"Andreanof Islands, Aleutian Islands, Alaska"
2,30,-10,15,5.8,iscgem878424,Morocco
3,10,90,25,5.8,iscgem878452,"Nicobar Islands, India region"
3,0,130,30,6.6,iscgem878456,"Halmahera, Indonesia"
3,30,80,25,5.7,iscgem878455,Nepal
3,0,130,30,6.1,iscgem878461,"Halmahera, Indonesia"
3,20,-110,15,6.1,iscgem878462,Gulf of California
3,-10,160,35,5.7,iscgem878493,Solomon Islands
3,-20,-170,15,5.7,iscgem878494,Tonga
3,-10,150,35,6.3,iscgem878513,"New Britain region, Papua New Guinea"
3,40,20,10,5.8,iscgem878509,Macedonia
3,-20,-170,25,5.9,iscgem878541,Tonga
3,40,140,15,8,iscgem878564,"off the east coast of Honshu, Japan"
3,40,140,34,5.8,iscgem878562,"off the east coast of Honshu, Japan"
3,40,140,15,6.1,iscgem878572,"off the east coast of Honshu, Japan"
3,-20,-170,25,5.7,iscgem878573,Tonga
3,40,140,15,6,iscgem878584,"off the east coast of Honshu, Japan"
3,-60,160,15,6.1,iscgem878596,Balleny Islands region
3,40,140,15,6.2,iscgem878627,"off the east coast of Honshu, Japan"
3,40,140,15,7,iscgem878607,"off the east coast of Honshu, Japan"
3,40,140,25,5.9,iscgem878622,"off the east coast of Honshu, Japan"
3,40,140,25,5.8,iscgem878623,"off the east coast of Honshu, Japan"
3,40,140,15,6.4,iscgem878608,"off the east coast of Honshu, Japan"
3,40,140,15,5.9,iscgem878620,"off the east coast of Honshu, Japan"
3,-10,170,25,6.1,iscgem878656,Vanuatu
3,-10,170,50,6,iscgem878654,Vanuatu
3,20,-110,15,6,iscgem878660,"offshore Jalisco, Mexico"
3,10,-80,25,6.3,iscgem878663,Panama
3,-10,170,39,5.7,iscgem878666,Vanuatu
3,-20,170,10,6.7,iscgem878676,Vanuatu
3,-10,150,50,6,iscgem878681,"eastern New Guinea region, Papua New Guinea"
3,-20,170,35,5.8,iscgem878691,southeast of the Loyalty Islands
3,-10,170,33,5.9,iscgem878687,Vanuatu
3,30,-110,15,6,iscgem878707,Gulf of California
4,50,-130,15,5.8,iscgem878713,"Vancouver Island, Canada region"
4,-60,-30,15,5.9,iscgem878748,South Sandwich Islands region
4,-60,-30,15,6,iscgem878746,South Sandwich Islands region
4,50,130,20,5.7,iscgem878788,"Jilin, China"
4,20,-90,20,5.8,iscgem878790,Guatemala
4,-30,-110,15,6,iscgem878800,Easter Island region
4,-10,170,35,6.2,iscgem878809,Vanuatu
4,0,-110,15,5.7,iscgem878842,east central Pacific Ocean
4,30,50,15,5.9,iscgem878868,southern Iran
4,-60,-30,25,5.7,iscgem878900,South Sandwich Islands region
4,0,120,35,5.9,iscgem878932,"Sulawesi, Indonesia"
5,0,130,35,6.2,iscgem879044,"Seram, Indonesia"
5,10,-80,10,5.8,iscgem879051,Panama
5,60,-160,44,5.8,iscgem879057,Alaska Peninsula
5,50,160,60,5.5,iscgem879065,"off the east coast of the Kamchatka Peninsula, Russia"
5,30,130,59,6.5,iscgem879081,"Ryukyu Islands, Japan"
5,-20,70,15,6.1,iscgem879087,Mauritius - Reunion region
5,-30,170,15,6.5,iscgem879097,"Norfolk Island, Australia region"
5,-40,-70,25,6.2,iscgem879111,"Bio-Bio, Chile"
5,-40,-70,25,8.1,iscgem879106,"Bio-Bio, Chile"
5,-40,-70,25,9.6,iscgem879136,"Bio-Bio, Chile"
5,-40,-70,25,8.6,iscgem879134,"Araucania, Chile"
5,-40,-70,25,6.8,iscgem879128,"Bio-Bio, Chile"
5,-40,-70,25,5.8,iscgem879126,"Araucania, Chile"
5,-40,-70,25,7.1,iscgem879127,"Bio-Bio, Chile"
5,-40,-70,15,5.8,iscgem879123,"offshore Bio-Bio, Chile"
5,-40,-70,20,6.5,iscgem879149,"offshore Araucania, Chile"
5,-40,-70,20,6.1,iscgem879185,"Golfo de Corcovado, Los Lagos, Chile"
5,-40,-70,25,6.2,iscgem879166,"Los Lagos, Chile"
5,-40,-70,25,6.2,iscgemsup879184,"Bio-Bio, Chile"
5,-40,-70,25,6.4,iscgem879175,"Araucania, Chile"
5,-40,-80,20,6.2,iscgem879167,"offshore Los Lagos, Chile"
5,-50,-80,20,6.1,iscgem879180,"near the coast of Aisen, Chile"
5,-40,170,15,6.2,iscgem879218,South Island of New Zealand
5,-50,-70,15,6,iscgem879222,southern Chile-Argentina border region
5,-50,-80,20,6.7,iscgem879232,"off the coast of Aisen, Chile"
5,40,20,20,6.2,iscgem879257,Albania
5,-50,-80,15,5.8,iscgem879295,"off the coast of Aisen, Chile"
5,-40,-70,25,6,iscgem879303,"Araucania, Chile"
5,-40,-80,20,5.9,iscgem879321,"off the coast of Los Lagos, Chile"
5,-40,-70,25,5.9,iscgem879317,"Bio-Bio, Chile"
5,-40,-70,25,6.3,iscgem879315,"Bio-Bio, Chile"
5,20,-60,30,6.2,iscgem879338,"Barbuda, Leeward Islands"
5,-40,-80,15,6,iscgem879331,"off the coast of Los Lagos, Chile"
6,-40,-70,35,6.1,iscgem879348,"Araucania, Chile"
6,-10,150,25,6.3,iscgem879368,"New Britain region, Papua New Guinea"
6,-50,-70,15,6.1,iscgem879364,"Aisen, Chile"
6,40,140,64,5.6,iscgem879387,"Hokkaido, Japan region"
6,20,-110,50,5.6,iscgem879393,"Jalisco, Mexico"
6,40,-120,6,5.51,ci3350693,"43km WSW of Hawthorne, NV"
6,-50,-70,15,7.8,iscgem879416,"Aisen, Chile"
6,40,-130,15,6,iscgem879414,offshore Northern California
6,40,-40,15,5.7,iscgem879442,northern Mid-Atlantic Ridge
6,-20,170,15,6.1,iscgem879457,Vanuatu
6,40,-30,15,5.6,iscgem879462,"Azores Islands, Portugal"
6,-20,-170,35,6.1,iscgem879468,Tonga
6,-10,150,30,6.6,iscgem879472,D'Entrecasteaux Islands region
6,-10,150,30,6.6,iscgem879475,D'Entrecasteaux Islands region
6,-40,-100,15,6.2,iscgem879487,southeast of Easter Island
6,-50,-80,15,5.9,iscgem879499,"off the coast of Aisen, Chile"
6,-10,150,15,5.8,iscgem879511,D'Entrecasteaux Islands region
6,-30,-180,15,5.9,iscgem879524,Kermadec Islands region
6,40,140,45,5.8,iscgem879523,"near the east coast of Honshu, Japan"
6,0,130,20,6.1,iscgem879526,"near the north coast of Papua, Indonesia"
6,-30,-180,15,6.2,iscgem879527,south of the Kermadec Islands
6,50,-170,34,5.9,iscgem879548,"Andreanof Islands, Aleutian Islands, Alaska"
6,-40,-70,25,7,iscgem879577,"Araucania, Chile"
6,-40,-70,25,6.9,iscgem879581,"Araucania, Chile"
6,-60,-20,15,5.8,iscgem879596,east of the South Sandwich Islands
6,-10,-110,15,5.8,iscgem879590,central East Pacific Rise
6,-30,-180,35,6.4,iscgem879627,"Kermadec Islands, New Zealand"
6,-30,-180,35,5.7,iscgem879621,"Kermadec Islands, New Zealand"
6,-30,-180,15,6,iscgemsup879646,south of the Kermadec Islands
6,-40,-70,25,6.1,iscgem879663,"Isla Chiloe, Los Lagos, Chile"
6,-30,-180,35,5.9,iscgem879664,"Kermadec Islands, New Zealand"
7,60,170,25,5.6,iscgem879682,"Komandorskiye Ostrova, Russia region"
7,-60,-30,80,5.8,iscgem879694,South Sandwich Islands region
7,-50,-70,15,5.6,iscgem879692,"near the coast of Aisen, Chile"
7,50,-180,15,6.1,iscgem879701,"Andreanof Islands, Aleutian Islands, Alaska"
7,50,-130,15,5.8,iscgem879713,"Haida Gwaii Region, Canada"
7,50,-130,15,6.5,iscgem879706,"Haida Gwaii Region, Canada"
7,-40,-70,20,5.8,iscgem879719,"offshore Araucania, Chile"
7,30,130,60,5.5,iscgem879741,"Kyushu, Japan"
7,30,130,15,5.8,iscgem879748,"southwestern Ryukyu Islands, Japan"
7,0,100,30,6.3,iscgem879758,"Nias region, Indonesia"
7,-20,-170,25,5.8,iscgem879774,Samoa Islands region
7,40,20,15,5.6,iscgem879788,Greece
7,-50,0,10,6.2,iscgem879785,Bouvet Island region
7,10,130,60,6,iscgem879799,"Kepulauan Talaud, Indonesia"
7,40,70,15,5.7,iscgem879823,"Hindu Kush region, Afghanistan"
7,-10,150,35,6,iscgem879830,"New Britain region, Papua New Guinea"
7,-20,170,65,6,iscgem879858,Vanuatu
7,50,160,27,5.9,iscgem879855,east of the Kuril Islands
7,60,160,15,5.8,iscgem879892,"Komandorskiye Ostrova, Russia region"
7,60,160,20,6.5,iscgem879899,"near the east coast of the Kamchatka Peninsula, Russia"
7,-50,-80,20,6.1,iscgem879912,"off the coast of Aisen, Chile"
7,40,140,53,6.8,iscgem879935,"near the east coast of Honshu, Japan"
7,-20,170,15,6,iscgem879925,Vanuatu
7,30,70,15,5.7,iscgem879930,central Afghanistan
7,30,90,15,5.6,iscgem879928,"Assam, India"
7,-10,150,35,5.9,iscgem879946,"New Britain region, Papua New Guinea"
7,-40,-80,20,5.8,iscgem879949,"off the coast of Aisen, Chile"
7,-10,150,25,6.7,iscgem879944,"New Britain region, Papua New Guinea"
8,30,50,15,5.7,iscgem879954,southern Iran
8,-30,-180,25,5.8,iscgem879971,Kermadec Islands region
8,50,180,19,6.5,iscgem879987,"Rat Islands, Aleutian Islands, Alaska"
8,50,180,15,5.7,iscgem879999,"Rat Islands, Aleutian Islands, Alaska"
8,40,-130,10,6.2,iscgem880030,off the coast of Northern California
8,-30,-180,75,6.2,iscgem880032,south of the Fiji Islands
8,-10,170,35,5.6,iscgem880034,Santa Cruz Islands
8,40,140,30,5.7,iscgem880057,"near the east coast of Honshu, Japan"
8,40,140,53,5.8,iscgem880061,"near the east coast of Honshu, Japan"
8,-40,-80,25,6.7,iscgem880062,"offshore Los Lagos, Chile"
8,-10,70,15,5.7,iscgem880074,Mid-Indian Ridge
8,-20,-10,15,5.7,iscgem880086,southern Mid-Atlantic Ridge
8,-40,-20,15,6.2,iscgem880114,Tristan da Cunha region
8,0,-30,15,5.7,iscgem880141,central Mid-Atlantic Ridge
8,-20,-180,30,6.1,iscgem880143,Samoa Islands region
8,30,60,25,5.8,iscgem880138,southeastern Iran
8,-20,-170,45,5.9,iscgem880146,Tonga
8,60,160,15,6,iscgem880144,"near the east coast of the Kamchatka Peninsula, Russia"
8,50,-170,29,5.9,iscgem880159,"Fox Islands, Aleutian Islands, Alaska"
9,-20,170,30,6.1,iscgem880210,Vanuatu
9,-20,-180,15,5.7,iscgem880217,Fiji region
9,60,-150,22,6,iscgem880215,"Kodiak Island region, Alaska"
9,-20,170,30,6.1,iscgem880211,Vanuatu
9,-30,-180,35,5.6,iscgem880207,Kermadec Islands region
9,-20,-180,15,5.7,iscgem880218,Fiji region
9,50,-170,35,5.9,iscgem880229,"Fox Islands, Aleutian Islands, Alaska"
9,30,100,20,6,iscgem880223,Xizang-Yunnan border region
9,-10,160,423,6.4,iscgem880236,"Bougainville region, Papua New Guinea"
9,50,150,43,6.2,iscgem880246,Kuril Islands
9,-40,-20,15,5.8,iscgem880272,Tristan da Cunha region
9,30,130,45,5.8,iscgem880311,"Ryukyu Islands, Japan"
9,20,120,35,5.6,iscgem880323,"Luzon, Philippines"
9,-20,-170,25,5.7,iscgem880334,Tonga
9,-40,-110,15,5.9,iscgem880327,southern East Pacific Rise
9,20,-70,15,5.8,iscgem880325,Dominican Republic
9,-20,-180,20,5.9,iscgem880350,Tonga
9,50,160,60,5.7,iscgem880345,Kuril Islands
9,50,160,60,6,iscgem880346,Kuril Islands
9,10,-80,15,6.3,iscgem880362,near the west coast of Colombia
9,20,120,35,5.9,iscgem880356,"Luzon, Philippines"
9,0,30,15,6.3,iscgem880380,Burundi region
9,0,30,15,5.9,iscgem880378,Burundi region
9,0,30,14,6.5,iscgem880379,Burundi region
9,-20,-170,25,5.7,iscgem880392,Tonga region
9,30,100,15,5.6,iscgem880423,"southern Qinghai, China"
9,20,150,420,6.6,iscgem880433,"Maug Islands region, Northern Mariana Islands"
9,50,-130,15,5.6,iscgem880439,"Vancouver Island, Canada region"
10,50,-170,35,6,iscgem880450,"Andreanof Islands, Aleutian Islands, Alaska"
10,-40,-90,15,6,iscgem880456,West Chile Rise
10,-10,100,30,5.8,iscgem880467,"southern Sumatra, Indonesia"
10,-10,160,35,5.9,iscgem880473,Solomon Islands
10,50,110,15,5.7,iscgem880479,"Lake Baykal region, Russia"
10,60,-30,15,5.7,iscgem880482,Reykjanes Ridge
10,-10,130,35,6.7,iscgem880488,"Kepulauan Tanimbar, Indonesia"
10,60,-30,15,5.6,iscgem880485,Reykjanes Ridge
10,40,130,608,6.8,iscgem880492,North Korea
10,10,90,61,5.9,iscgem880495,"Nicobar Islands, India region"
10,60,160,36,6.4,iscgem880524,"near the east coast of the Kamchatka Peninsula, Russia"
10,60,-40,20,5.7,iscgem880536,Reykjanes Ridge
10,50,-170,36,6.5,iscgem880535,"Andreanof Islands, Aleutian Islands, Alaska"
10,-40,-70,25,5.8,iscgem880534,"Araucania, Chile"
10,20,-90,35,5.7,iscgem880565,"offshore Chiapas, Mexico"
10,-10,170,15,6,iscgem880585,Santa Cruz Islands region
10,-10,160,65,6.3,iscgem880595,Solomon Islands
10,40,140,25,6.1,iscgem880645,"off the east coast of Honshu, Japan"
10,70,-10,15,5.9,iscgem880638,Jan Mayen Island region
10,-20,-170,35,5.7,iscgem880649,Tonga
10,-20,-70,35,6.2,iscgem880659,"Antofagasta, Chile"
11,-10,-10,15,5.7,iscgem880669,Ascension Island region
11,-40,-80,20,7.4,iscgem880670,"off the coast of Araucania, Chile"
11,-10,170,15,6.3,iscgem880682,Santa Cruz Islands region
11,40,20,20,6,iscgem880700,Greece-Albania border region
11,-30,-180,25,6.3,iscgem880703,Kermadec Islands region
11,50,-170,41,5.9,iscgem880707,"Fox Islands, Aleutian Islands, Alaska"
11,50,160,34,6.2,iscgem880702,"near the east coast of the Kamchatka Peninsula, Russia"
11,-20,-70,35,6.2,iscgem880731,"Antofagasta, Chile"
11,30,100,25,6.3,iscgem880729,"western Sichuan, China"
11,-60,-30,15,6.4,iscgem880728,South Sandwich Islands region
11,40,20,25,5.6,iscgem880743,Greece
11,50,-170,22,6.8,iscgem880759,"Fox Islands, Aleutian Islands, Alaska"
11,-10,-80,15,7.6,iscgem880820,near the coast of northern Peru
11,-40,-80,20,6.2,iscgem880832,"offshore Los Lagos, Chile"
11,-20,-170,15,6,iscgem880828,Tonga region
11,-40,50,15,6.1,iscgem880830,Southwest Indian Ridge
11,-30,-180,25,6.6,iscgem880837,south of the Fiji Islands
11,-20,-180,45,5.9,iscgem880840,south of the Fiji Islands
11,-30,-180,30,7.2,iscgem880846,south of the Fiji Islands
11,-10,150,65,6.1,iscgem880845,"New Ireland region, Papua New Guinea"
11,-40,-80,20,6,iscgem880884,"off the coast of Aisen, Chile"
12,50,-130,20,6.2,iscgem880899,"Vancouver Island, Canada region"
12,-30,-70,35,7.3,iscgem880905,"Antofagasta, Chile"
12,40,110,20,6.8,iscgem880912,central Mongolia
12,40,100,20,5.7,iscgem880930,central Mongolia
12,-20,-70,50,6.1,iscgem880939,"Tarapaca, Chile"
12,10,-80,35,6.2,iscgem880940,Panama-Costa Rica border region
12,-20,170,65,6.1,iscgem880976,Vanuatu
