month,latitude,longitude,depth,mag,mag_avg
1,-60,0,20,6.3,1
1,40,90,20,5.7,1
1,10,40,20,6.1,1
1,50,30,40,5.4,1
1,10,100,20,5.6,1
1,10,100,60,5.5,1
1,-60,-30,40,6.2,1
1,-60,-30,20,5.9,1
1,-60,-30,40,6,1
1,20,100,20,5.6,1
1,20,120,10,5.8,1
1,-60,-30,40,6,1
1,-20,-80,70,7.1,1
1,-20,-80,50,5.9,1
1,50,160,50,5.5,1
1,-20,-180,30,6,1
1,0,130,30,6.3,1
1,0,130,40,6.2,1
1,0,130,30,6.2,1
1,-20,-180,30,6.3,1
1,-20,-180,30,6.1,1
1,40,40,30,5.3,0
1,30,140,20,6.3,1
2,40,20,40,5.5,1
2,40,140,30,6.1,1
2,-10,150,50,6.6,1
2,-60,-70,20,6.4,1
2,0,130,40,6.5,1
2,-20,-170,20,5.9,1
2,20,-50,20,5.7,1
2,-30,-110,20,6,1
2,50,160,40,5.8,1
2,-40,170,50,5.6,1
2,-10,150,30,5.7,1
2,40,20,30,5.6,1
2,-10,160,50,6.2,1
2,50,-180,40,6,1
2,50,-180,50,5.8,1
2,30,-10,20,5.8,1
3,10,90,30,5.8,1
3,0,130,30,6.6,1
3,30,80,30,5.7,1
3,0,130,30,6.1,1
3,20,-110,20,6.1,1
3,-10,160,40,5.7,1
3,-20,-170,20,5.7,1
3,-10,150,40,6.3,1
3,40,20,10,5.8,1
3,-20,-170,30,5.9,1
3,40,140,20,8,1
3,40,140,30,5.8,1
3,40,140,20,6.1,1
3,-20,-170,30,5.7,1
3,40,140,20,6,1
3,-60,160,20,6.1,1
3,40,140,20,6.2,1
3,40,140,20,7,1
3,40,140,30,5.9,1
3,40,140,30,5.8,1
3,40,140,20,6.4,1
3,40,140,20,5.9,1
3,-10,170,30,6.1,1
3,-10,170,50,6,1
3,20,-110,20,6,1
3,10,-80,30,6.3,1
3,-10,170,40,5.7,1
3,-20,170,10,6.7,1
3,-10,150,50,6,1
3,-20,170,40,5.8,1
3,-10,170,30,5.9,1
3,30,-110,20,6,1
4,50,-130,20,5.8,1
4,-60,-30,20,5.9,1
4,-60,-30,20,6,1
4,50,130,20,5.7,1
4,20,-90,20,5.8,1
4,-30,-110,20,6,1
4,-10,170,40,6.2,1
4,0,-110,20,5.7,1
4,30,50,20,5.9,1
4,-60,-30,30,5.7,1
4,0,120,40,5.9,1
5,0,130,40,6.2,1
5,10,-80,10,5.8,1
5,60,-160,40,5.8,1
5,50,160,60,5.5,1
5,30,130,60,6.5,1
5,-20,70,20,6.1,1
5,-30,170,20,6.5,1
5,-40,-70,30,6.2,1
5,-40,-70,30,8.1,1
5,-40,-70,30,9.6,1
5,-40,-70,30,8.6,1
5,-40,-70,30,6.8,1
5,-40,-70,30,5.8,1
5,-40,-70,30,7.1,1
5,-40,-70,20,5.8,1
5,-40,-70,20,6.5,1
5,-40,-70,20,6.1,1
5,-40,-70,30,6.2,1
5,-40,-70,30,6.2,1
5,-40,-70,30,6.4,1
5,-40,-80,20,6.2,1
5,-50,-80,20,6.1,1
5,-40,170,20,6.2,1
5,-50,-70,20,6,1
5,-50,-80,20,6.7,1
5,40,20,20,6.2,1
5,-50,-80,20,5.8,1
5,-40,-70,30,6,1
5,-40,-80,20,5.9,1
5,-40,-70,30,5.9,1
5,-40,-70,30,6.3,1
5,20,-60,30,6.2,1
5,-40,-80,20,6,1
6,-40,-70,40,6.1,1
6,-10,150,30,6.3,1
